Email Newsletter Name,Category,Last Updated,Status,Send Time,Audience,Open Rate,CTR
'DE SMO Connect','EMEA Emails','2026-03-06T14:07:35+00:00','Sent','2026-03-06T14:07:35+00:00',411,62.77372,3.649635
'NL SMO Connect','EMEA Emails','2026-03-06T13:11:59+00:00','Sent','2026-03-06T13:11:59+00:00',134,64.17911,1.492537
'UKI SMO Connect','EMEA Emails','2026-03-05T12:12:32+00:00','Sent','2026-03-05T12:12:32+00:00',1063,61.61806,3.007519
'UKI SMO Connect January  HQ','EMEA Emails','2026-02-02T13:38:45+00:00','Sent','2026-02-02T14:45:00+00:00',178,71.34831,3.370786
'UKI SMO Connect January','EMEA Emails','2026-01-30T13:24:09+00:00','Sent','2026-01-30T13:24:09+00:00',1068,43.25843,3.838951
'NL SMO Connect January','EMEA Emails','2026-01-30T12:24:02+00:00','Sent','2026-01-30T12:24:02+00:00',131,35.87786,5.343512
'DE SMO Connect Januar','EMEA Emails','2026-01-28T14:08:18+00:00','Sent','2026-01-28T14:08:17+00:00',419,64.6778,0.7159904
'UKI SMO Connect December HQ Copy (12/23/2025 6:33:23 PM)','EMEA Emails','2025-12-23T18:33:45+00:00','Sent','2025-12-24T09:30:00+00:00',174,57.47126,5.747127
'UKI SMO Connect December Copy (12/23/2025 6:27:00 PM)','EMEA Emails','2025-12-23T18:27:18+00:00','Sent','2025-12-23T18:27:18+00:00',1075,53.76744,4.182156
'UKI SMO Connect December HQ','EMEA Emails','2025-12-23T16:39:11+00:00','Sending','2025-12-23T16:39:11+00:00',174,0,0
'UKI SMO Connect December','EMEA Emails','2025-12-23T16:38:41+00:00','Sending','2025-12-23T16:38:41+00:00',1075,0,0
'NL SMO Connect December','EMEA Emails','2025-12-22T14:11:51+00:00','Sent','2025-12-22T14:11:51+00:00',139,71.22302,1.438849
'DE SMO Connect December','EMEA Emails','2025-12-22T14:07:23+00:00','Sent','2025-12-22T14:07:23+00:00',417,55.8753,2.398082
'UKI SMO Connect November','EMEA Emails','2025-11-28T14:55:51+00:00','Sent','2025-11-28T14:55:51+00:00',1249,52.84227,3.202562
'DE SMO Connect November','EMEA Emails','2025-11-28T14:24:37+00:00','Sent','2025-11-28T14:24:37+00:00',434,63.59447,0.4608295
'NL SMO Connect November','EMEA Emails','2025-11-28T14:11:33+00:00','Sent','2025-11-28T14:11:33+00:00',148,53.37838,5.405406
'UKI SMO Connect October','EMEA Emails','2025-10-31T16:23:22+00:00','Sent','2025-10-31T16:23:22+00:00',1069,51.91768,2.61927
'DE SMO Connect October','EMEA Emails','2025-10-30T14:39:35+00:00','Sent','2025-10-30T14:39:35+00:00',431,56.38051,0
'NL SMO Connect October','EMEA Emails','2025-10-30T07:50:55+00:00','Sent','2025-10-30T07:50:55+00:00',146,65.75343,2.739726
'UKI: SMO Connect September HQ','EMEA Emails','2025-10-01T08:06:01+00:00','Sent','2025-10-01T08:06:00+00:00',181,61.32597,2.209945
'UKI: SMO Connect September','EMEA Emails','2025-10-01T08:03:40+00:00','Sent','2025-10-01T08:03:39+00:00',1071,63.11858,0.6535948
'NL: SMO Connect September','EMEA Emails','2025-09-25T14:29:11+00:00','Sent','2025-09-25T14:29:10+00:00',142,65.49296,0
'DE: SMO Connect September','EMEA Emails','2025-09-25T09:53:12+00:00','Sent','2025-09-25T09:53:12+00:00',431,64.50116,1.160093
UKI: SMO Connect July','EMEA Emails',25/07/2025,'Sent',25/07/2025,1080,52.25,3.9
UKI: SMO Connect June','EMEA Emails',25/06/2025,'Sent',25/06/2025,1090,52.00,4
UKI: SMO Connect May','EMEA Emails',25/05/2025,'Sent',25/05/2025,1090,56.00,3.7
UKI: SMO Connect April','EMEA Emails',25/04/2025,'Sent',25/04/2025,1100,56.00,3.7
UKI: SMO Connect March','EMEA Emails',25/03/2025,'Sent',25/03/2025,1100,59.00,3.7
UKI: SMO Connect February','EMEA Emails',25/02/2025,'Sent',25/02/2025,1100,59.36,3.7
UKI: SMO Connect January','EMEA Emails',25/01/2025,'Sent',25/01/2025,1100,58.00,3.7
